id,smiles,inchiKey,parentGroupLabel,reactionStep,functionalGroup,stoichiometry,uff_energy,mmff_energy
5228,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4F,CILFNMVVWGLLAD-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.4376854,62.30251323
5244,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4F,CSBARSKDDAUBIH-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.0994664,44.54915346
5246,Fc1c(F)c(F)cc(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,CVANCWAIWIQWOL-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.08075536,58.93843541
5247,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,CWUQSXMYUDJCIB-FOCLMDBBSA-N,12,0,F,C16H2S2O2F6,80.5790197,52.31854749
5249,c1c(F)cc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4F,CYHOSGCKQQCBOH-FOCLMDBBSA-N,12,0,F,C16H4S2O2F4,80.16780464,29.46959983
5260,Fc1ccc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,DLCZCCBSIPXRKG-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,80.03663853,62.37252497
5262,Fc1ccc(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)cc4,DLSONXXWENHQQQ-FOCLMDBBSA-N,12,0,F,C16H5S2O2F3,80.10466613,54.93584651
5271,c1cc(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cccc4,DSRCOMGYKPGGFG-FOCLMDBBSA-N,12,0,F,C16H6S2O2F2,79.73559899,76.85367326
5275,Fc1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)c(F)ccc4,DWWXCMQPASWFIF-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.59970582,60.17994783
5284,c1c(F)c(F)c(F)c(c12)S/C(C2=O)=C(C3=O)/Sc(c34)cc(F)c(F)c4,FHUXWOMTEBBDER-FOCLMDBBSA-N,12,0,F,C16H3S2O2F5,80.07345659,60.26230521
